source_id,sample_id,profile,trace_type,entity_type,entity_level,definition_key,n_total,n_applicable,n_not_applicable,n_present,n_valid,n_missing,n_excluded,coverage_ratio,missing_reasons,exclusion_reasons,not_applicable_reason
agentx_256k,AX-SUB,semantic_trace,production_derived,run,request,source_ttft,21,21,0,2,2,19,0,0.09523809523809523,"{""not_recorded"": 19}",{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,request,source_think_time,21,21,0,20,20,1,0,0.9523809523809523,"{""not_recorded"": 1}",{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,request,source_start,21,21,0,21,21,0,0,1.0,{},{},
applied_agentic_coding,AC-N2,macro_template,production_derived,template,entity,model_request_count,1,1,0,1,1,0,0,1.0,{},{},
applied_agentic_coding,AC-N2,macro_template,production_derived,template,entity,total_input_tokens,1,1,0,1,1,0,0,1.0,{},{},
applied_agentic_coding,AC-N2,macro_template,production_derived,template,entity,max_input_context,1,1,0,1,1,0,0,1.0,{},{},
applied_agentic_coding,AC-N2,macro_template,production_derived,template,entity,total_output_tokens,1,1,0,1,1,0,0,1.0,{},{},
applied_agentic_coding,AC-N2,macro_template,production_derived,template,entity,completion_context,1,1,0,1,1,0,0,1.0,{},{},
applied_agentic_coding,AC-N2,macro_template,production_derived,template,entity,completion_context,1,1,0,1,1,0,0,1.0,{},{},
applied_agentic_coding,AC-N2,macro_template,production_derived,template,entity,completion_context,1,1,0,1,1,0,0,1.0,{},{},
applied_agentic_coding,AC-N2,macro_template,production_derived,template,entity,simulated_tool_delay,1,1,0,1,1,0,0,1.0,{},{},
applied_agentic_coding,AC-N2,macro_template,production_derived,template,entity,simulated_tool_delay,1,1,0,1,1,0,0,1.0,{},{},
applied_agentic_coding,AC-N2,macro_template,production_derived,template,entity,total_simulated_delay,1,1,0,1,1,0,0,1.0,{},{},
applied_agentic_coding,AC-N2,macro_template,production_derived,template,entity,run_elapsed,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
applied_agentic_coding,AC-N2,macro_template,production_derived,template,entity,local_cpu_time,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,manifest_reported_wall_time_s,1,1,0,1,1,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,model_request_count,1,1,0,1,1,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,total_input_tokens,1,1,0,1,1,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,total_output_tokens,1,1,0,1,1,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,max_input_context,1,1,0,1,1,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,max_source_context_tokens,1,1,0,1,1,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,total_api_latency_s,1,1,0,1,1,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,tool_call_count,1,1,0,1,1,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,run_elapsed,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,local_cpu_time,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,tool_cpu_time,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,total_input_tokens,70,70,0,70,70,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,total_output_tokens,70,70,0,70,70,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,source_context_tokens,70,70,0,70,70,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,cached_input_tokens,70,70,0,70,70,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,reasoning_output_tokens,70,70,0,70,70,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,ttft,70,70,0,70,70,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,api_latency,70,70,0,70,70,0,0,1.0,{},{},
telemetry_video_weaver,AUX-INCOMPLETE,semantic_trace,unknown,unassigned_request,request,total_input_tokens,1,1,0,0,0,1,0,0.0,"{""not_recorded"": 1}",{},
telemetry_video_weaver,AUX-INCOMPLETE,semantic_trace,unknown,unassigned_request,request,total_output_tokens,1,1,0,0,0,1,0,0.0,"{""not_recorded"": 1}",{},
telemetry_video_weaver,AUX-INCOMPLETE,semantic_trace,unknown,unassigned_request,request,ttft,1,1,0,1,1,0,0,1.0,{},{},
telemetry_video_weaver,AUX-INCOMPLETE,semantic_trace,unknown,unassigned_request,request,api_latency,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,tool_cpu_time,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,tool_cpu_time,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
